SDS Name,Description,Units,Data Type,Fill Value,No Data Value,Valid Range,Scale Factor
lc_South_CultivatedCropsOrPastures,,int64,int64,,-9999,,
lc_South_CultivatedOrchards,,int64,int64,,-9999,,
lc_South_CultivatedOtherAgriculture,,int64,int64,,-9999,,
lc_South_HerbaceousGrasslandFernsOrFlowers,,int64,int64,,-9999,,
lc_South_HerbaceousGrasslandMediumGrass,,int64,int64,,-9999,,
lc_South_HerbaceousGrasslandShortGrass,,int64,int64,,-9999,,
lc_South_HerbaceousGrasslandTallGrass,,int64,int64,,-9999,,
lc_South_OpenWaterFreshwater,,int64,int64,,-9999,,
lc_South_OpenWaterMarine,,int64,int64,,-9999,,
lc_South_ShrubsCloselySpacedShortDeciduous,,int64,int64,,-9999,,
lc_South_ShrubsCloselySpacedShortEvergreen,,int64,int64,,-9999,,
lc_South_ShrubsCloselySpacedShortExtremelyDry,,int64,int64,,-9999,,
lc_South_ShrubsCloselySpacedTallDeciduous,,int64,int64,,-9999,,
lc_South_ShrubsCloselySpacedTallEvergreen,,int64,int64,,-9999,,
lc_South_ShrubsCloselySpacedTallExtremelyDry,,int64,int64,,-9999,,
lc_South_ShrubsLooselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_South_ShrubsLooselySpacedShortDeciduous,,int64,int64,,-9999,,
lc_South_ShrubsLooselySpacedShortEvergreen,,int64,int64,,-9999,,
lc_South_ShrubsLooselySpacedShortExtremelyDry,,int64,int64,,-9999,,
lc_South_ShrubsLooselySpacedTallDeciduous,,int64,int64,,-9999,,
lc_South_ShrubsLooselySpacedTallEvergreen,,int64,int64,,-9999,,
lc_South_TreesCloselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_South_TreesCloselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_South_TreesCloselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_South_TreesCloselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_South_TreesCloselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_South_TreesCloselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_South_TreesLooselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_South_TreesLooselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_South_TreesLooselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_South_TreesLooselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_South_TreesLooselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_South_TreesLooselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_South_UrbanCommercialProperty,,int64,int64,,-9999,,
lc_South_UrbanOther,,int64,int64,,-9999,,
lc_South_UrbanResidentialProperty,,int64,int64,,-9999,,
lc_South_UrbanRoadsAndParking,,int64,int64,,-9999,,
lc_South_WetlandsInFreshwaterLakeOrPond(Lacustrine),,int64,int64,,-9999,,
lc_South_WetlandsInFreshwaterRiverine(Riverine),,int64,int64,,-9999,,
lc_UpwardCaption,,Class,object,,NA,,
lc_UpwardExtraData,,Class,object,,NA,,
lc_UpwardPhotoUrl,,Class,object,,NA,,
lc_WestCaption,,int64,int64,,-9999,,
lc_WestClassifications,,Class,object,,NA,,
lc_WestExtraData,,Class,object,,NA,,
lc_WestPhotoUrl,,Class,object,,NA,,
lc_West_BarrenBareRock,,int64,int64,,-9999,,
lc_West_BarrenDirtOther,,int64,int64,,-9999,,
lc_West_BarrenGlaciers,,int64,int64,,-9999,,
lc_West_BarrenPerennialSnowfields,,int64,int64,,-9999,,
lc_West_BarrenSandy,,int64,int64,,-9999,,
lc_West_CultivatedAthleticFieldGolfCourseCemetery,,int64,int64,,-9999,,
lc_West_CultivatedCropsOrPastures,,int64,int64,,-9999,,
lc_West_CultivatedOrchards,,int64,int64,,-9999,,
lc_West_CultivatedOtherAgriculture,,int64,int64,,-9999,,
lc_West_HerbaceousGrasslandFernsOrFlowers,,int64,int64,,-9999,,
lc_West_HerbaceousGrasslandMediumGrass,,int64,int64,,-9999,,
lc_West_HerbaceousGrasslandShortGrass,,int64,int64,,-9999,,
lc_West_HerbaceousGrasslandTallGrass,,int64,int64,,-9999,,
lc_West_OpenWaterFreshwater,,int64,int64,,-9999,,
lc_West_OpenWaterMarine,,int64,int64,,-9999,,
lc_West_ShrubsCloselySpacedShortDeciduous,,int64,int64,,-9999,,
lc_West_ShrubsCloselySpacedShortEvergreen,,int64,int64,,-9999,,
lc_West_ShrubsCloselySpacedShortExtremelyDry,,int64,int64,,-9999,,
lc_West_ShrubsCloselySpacedTallDeciduous,,int64,int64,,-9999,,
lc_West_ShrubsCloselySpacedTallEvergreen,,int64,int64,,-9999,,
lc_West_ShrubsLooselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_West_ShrubsLooselySpacedShortDeciduous,,int64,int64,,-9999,,
lc_West_ShrubsLooselySpacedShortEvergreen,,int64,int64,,-9999,,
lc_West_ShrubsLooselySpacedShortExtremelyDry,,int64,int64,,-9999,,
lc_West_ShrubsLooselySpacedTallDeciduous,,int64,int64,,-9999,,
lc_West_ShrubsLooselySpacedTallEvergreen,,int64,int64,,-9999,,
lc_West_TreesCloselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_West_TreesCloselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_West_TreesCloselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_West_TreesCloselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_West_TreesCloselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_West_TreesCloselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_West_TreesLooselySpacedDeciduousBroadLeaved,,int64,int64,,-9999,,
lc_West_TreesLooselySpacedDeciduousNeedleLeaved,,int64,int64,,-9999,,
lc_West_TreesLooselySpacedEvergreenBroadLeaved,,int64,int64,,-9999,,
lc_West_TreesLooselySpacedEvergreenNeedleLeaved,,int64,int64,,-9999,,
lc_West_TreesLooselySpacedExtremelyDry,,int64,int64,,-9999,,
lc_West_TreesLooselySpacedNotSureWhich,,int64,int64,,-9999,,
lc_West_UrbanCommercialProperty,,int64,int64,,-9999,,
lc_West_UrbanOther,,int64,int64,,-9999,,
lc_West_UrbanResidentialProperty,,int64,int64,,-9999,,
lc_West_UrbanRoadsAndParking,,int64,int64,,-9999,,
lc_West_WetlandsInFreshwaterLakeOrPond(Lacustrine),,int64,int64,,-9999,,
lc_West_WetlandsInFreshwaterRiverine(Riverine),,int64,int64,,-9999,,
lc_West_WetlandsInSaltBrackishTidal(Estuarine),,int64,int64,,-9999,,
lc_MucCode,,Class,object,,NA,,
lc_DataSource,,Class,object,,NA,,
lc_DryGround,,Class,object,,NA,,
lc_MucDetails,,Class,object,,NA,,
lc_MeasuredAt,,Class,object,,NA,,
lc_Muddy,,Class,object,,NA,,
lc_StandingWater,,Class,object,,NA,,
lc_LeavesOnTrees,,Class,object,,NA,,
lc_Userid,,int64,int64,,-9999,,
lc_RainingSnowing,,Class,object,,NA,,
lc_LandCoverId,,int64,int64,,-9999,,
lc_MucDescription,,Class,object,,NA,,
lc_SnowIce,,Class,object,,NA,,
lc_FieldNotes,,Class,object,,NA,,
lc_Latitude,,float64,float64,,-9999,,
lc_MeasurementElevation,,int64,int64,,-9999,,
lc_Longitude,,float64,float64,,-9999,,
lc_GlobeTeams,,Class,object,,NA,,
lc_PhotoCount,,int64,int64,,-9999,,
lc_RejectedCount,,int64,int64,,-9999,,
lc_PendingCount,,int64,int64,,-9999,,
lc_EmptyCount,,int64,int64,,-9999,,
lc_PhotoBitBinary,,Class,object,,NA,,
lc_PhotoBitDecimal,,int64,int64,,-9999,,
lc_ClassificationCount,,int64,int64,,-9999,,
lc_ClassificationBitBinary,,Class,object,,NA,,
lc_ClassificationBitDecimal,,int64,int64,,-9999,,
lc_NorthPrimary,,Class,object,,NA,,
lc_NorthSecondary,,Class,object,,NA,,
lc_EastPrimary,,Class,object,,NA,,
lc_EastSecondary,,Class,object,,NA,,
lc_SouthPrimary,,Class,object,,NA,,
lc_SouthSecondary,,Class,object,,NA,,
lc_WestPrimary,,Class,object,,NA,,
lc_WestSecondary,,Class,object,,NA,,
lc_PrimaryClassification,,Class,object,,NA,,
lc_SecondaryClassification,,Class,object,,NA,,
lc_PrimaryPercentage,,float64,float64,,-9999,,
lc_SecondaryPercentage,,float64,float64,,-9999,,
lc_SubCompletenessScore,,float64,float64,,-9999,,
lc_CumulativeCompletenessScore,,float64,float64,,-9999,,
